"Id","RouteId","Description","ExactPoint","Time","IsActive","UserId"
1517,20,"PERAMA KIOSK","OASIS","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1518,20,"POTAMAKI","MAIN ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1519,20,"PRIMASOL IONIAN SUN = REGENCY","M.ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1520,20,"ROSSIS","M.ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1521,20,"SANDY BEACH","HOTEL","16:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1522,20,"ST.STEFANO - CROSSROAD","CROSSROAD","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1523,20,"STADIUM","MAIN ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1524,20,"STORK TOURS OFFICE","MAIN ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1525,20,"TAXI MESSONGHI","TAXI STATION","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1526,20,"THEODOROS TAVERNA(GREEN BUS ST","M.ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1527,20,"TZEVENOS","M.ROAD","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1528,20,"VERONIKA","MAIN ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1529,20,"VERYCOCO","MAIN ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1530,29,"CAPO DI CORFU","M.GATE","16:35",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1531,19,"AB VASILOPOYLOS KONTOKALI","M.ROAD","15:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1532,19,"ARION HOTEL","MAIN ROAD","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1533,19,"CORFU HOLIDAY","M.GATE","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1534,19,"CORFU PALACE","M. ROAD","15:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1535,19,"CORKYRA BEACH","JET OIL","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1536,19,"DEBONO","DIELLAS","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1537,19,"DIELLAS MARKET","M.ROAD","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1538,19,"DIVANI","M.ROAD","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1539,19,"GOVINO BAY","PARK HTL M.ROAD","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1540,19,"HELLENIS","M.ROAD","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1541,19,"HOSPITAL","TRAFFIC LIGHTS","15:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1542,19,"JET OIL","M.ROAD","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1543,19,"KERKYRA GOLF","M.ROAD BUS STOP","15:10",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1544,19,"KIOSK GOUVIA","KIOSK GOUVIA","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1545,19,"KONTOKALI - AB BASILOPOULOS","TRAFFIC LIGHTS","15:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1546,19,"KONTOKALI BAY","M.GATE","15:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1547,19,"MARIANA","DIELLAS","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1548,19,"MATHRAKI DINOS","JET OIL","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1549,19,"MOLFETA","SPITI  PRIFTI","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1550,19,"MON REPO HTL","HOTEL","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1551,19,"NEW HOSPITAL","TRAFFIC LIGHTS","15:05",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1552,19,"OMIROS","DIELLAS","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1553,19,"PARADISE","JET OIL","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1554,19,"PARK HOTEL","M.ROAD","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1555,19,"POPI STAR","SPITI PRIFTI","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1556,19,"ROYAL BOUTIQUE","MAIN ROAD","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1557,19,"SPITI PRIFTI","MAIN ROAD - OPPOSITE","15:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1558,20,"3K S/M MESSONGHI","M.ROAD","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1559,20,"3K S/M MESSONGHI","M.ROAD","09:11",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1563,22,"A1","A2","06:00",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1564,22,"FUNDANA VILLAS LAKONES","CROSSROAD","07:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1565,20,"CORFU CRUISES OLD BENITSES OFFICE","MAIN ROAD","08:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1566,28,"SHELL PETROL STATION","MAIN ROAD","06:58",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1567,28,"PIZZA VENEZIA","MAIN ROAD","07:27",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1568,28,"JOANNAS","MAIN ROAD","07:35",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1569,28,"CHRISTINAS","MAIN ROAD","07:39",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1570,28,"SHELL PETROL STATION","MAIN ROAD","15:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1571,31,"CORFU TOWN NEW PORT","","19:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1572,28,"LAGOON","MAIN ROAD","14:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1573,28,"BLUE DREAM VELONADES","MAIN ROAD","14:35",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1574,28,"ESCAPE BAR","MAIN ROAD","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1575,28,"BLUE SKY","MAIN ROAD","07:35",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1576,28,"SAN GEORGE SIDARI","MAIN ROAD","07:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1577,29,"LEFKIMMI HOTEL","MAIN ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1578,20,"OSCAR BENITSES OFFICE","MAIN ROAD","08:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1579,29,"PANDIS TRAVEL","OFFICE","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1580,20,"BENITSES OLD OFFICE","MAIN ROAD","15:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1581,20,"TZEVENOS","MAIN ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1582,20,"ANANIAS","MAIN ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1583,28,"TEREZA","MAIN ROAD","14:30",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1584,28,"SKRIPERO","TRAFFIC LIGHTS - KIOSK","07:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1585,29,"NAOS","M. ROAD","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1586,19,"IPSOS TOWN HALL","","14:35",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1587,20,"PONTIKONISI","","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1588,20,"ALBATROS","","15:55",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1589,29,"TEX MEX","","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1590,29,"CORFU 4 ALL","M.ROAD","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1591,29,"ALEXANDRA","MAIN ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1592,29,"TEX MEX","MAIN ROAD","09:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1593,20,"MALTA","","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1594,20,"EL GRECO","","15:40",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1595,29,"ASPROCAVOS S/M","","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1596,20,"BELVEDERE","MAIN ROAD","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1597,20,"BELOS BEACH","","15:50",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1598,19,"KALYPSO CAFE IPSOS","MAIN ROAD","07:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1599,29,"ISLAND HOLIDAYS","","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1600,20,"HELLINIS","","15:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1601,19,"SUNSET HOTEL ALYKES","M.ROAD OPPOSITE","07:53",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1602,29,"NIKOS VILLAS","M. ROAD","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1603,29,"ISLAND BEACH","","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1604,20,"GOLDEN SANDS","","16:20",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1605,29,"YANNETA","","16:45",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1606,20,"KUSPADES REGINA HOTEL","MAIN ROAD","09:16",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1607,20,"KUSPADES/REGINA HOTEL","MAIN ROAD","09:15",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1608,29,"JUST IN TRAVEL","OFFICE","09:46",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1609,19,"RODOSTAMO HOTEL","M.ROAD","07:39",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1610,19,"MEGA HOTEL IPSOS","M.ROAD","07:22",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
1611,28,"TEREZAS POOL","MAIN ROAD","07:37",1,"b6401c3e-7683-49bc-bb7f-8be3b2fd2210"
